ms,degC
2021,26.20
4044,26.20
6069,26.20
8092,26.20
10115,26.20
12137,26.20
14159,26.20
16184,26.20
18206,26.20
20229,26.20
22251,26.70
24273,26.70
26297,26.70
28321,26.70
30344,26.70
32366,26.70
-31148,27.10
-29124,27.10
-27100,27.10
-25076,27.10
-23054,27.10
-21031,27.60
-19009,27.60
-16985,27.60
-14962,27.60
-12940,27.60
-10917,28.00
-8895,28.00
-6873,28.00
-4850,28.00
-2828,28.00
-805,28.30
1217,28.50
3241,28.50
5265,28.50
7287,28.50
9310,28.50
11332,28.90
13357,28.90
15380,28.90
17402,28.90
19425,28.90
21447,28.90
23472,29.30
25494,29.30
27516,29.30
29539,29.30
31563,29.30
-31949,29.30
-29927,29.30
-27904,29.80
-25882,29.80
-23858,29.80
-21835,29.80
-19813,29.80
