ms,degC
2021,30.80
4044,31.30
6069,31.30
8091,31.80
10114,31.80
12136,31.80
14158,31.80
16182,32.30
18206,32.30
20230,32.30
22253,32.30
24275,32.30
26298,32.80
28320,32.80
30343,32.80
32365,32.80
-31149,32.80
-29126,32.80
-27104,33.30
-25081,33.30
-23058,33.30
-21034,33.30
-19010,33.30
-16987,33.30
-14963,33.80
-12940,33.80
-10916,33.80
-8894,33.80
-6872,33.80
-4849,33.80
-2826,33.80
-803,33.80
1220,34.00
3244,34.20
5267,34.20
7290,34.20
9314,34.20
11337,34.20
13361,34.20
15384,34.20
17408,34.20
19430,34.20
21452,34.50
23475,34.70
25497,34.70
27520,34.70
29543,34.70
31567,34.70
-31945,34.70
-29923,34.70
-27900,34.70
-25878,34.70
